id,ess_id,ess_id2,ess_id3
3127,16,,
3128,16,,
3129,16,,
3130,36,,
3131,16,,
3132,16,,
3133,16,,
3134,36,,
3135,16,,
3136,16,,
3137,16,,
3138,16,,
3139,36,,
1907,8,,
3140,16,,
934,32,,
3141,36,,
2880,9,,
3142,36,,
1457,19,,
3143,36,,
482,27,,
3144,36,,
3145,36,,
3146,36,,
3147,6,,
3148,35,,
1916,8,,
3149,18,,
3150,35,,
3151,18,,
3152,18,,
3153,35,,
3154,35,,
3155,18,,
3156,35,,
3157,18,,
3158,33,35,
3159,33,35,
498,8,,
3160,23,,
3161,18,,
2900,9,,
3162,33,,
3163,18,,
3164,33,35,
1479,19,,
503,8,,
3165,35,,
2383,32,,
3166,35,,
2384,32,,
3167,23,,
3168,23,,
961,21,25,24
962,18,,
3169,33,,
1484,15,,
3170,33,,
2388,32,,
1485,15,,
3171,33,,
3172,7,,
966,23,,
3173,7,,
3174,20,,
3175,20,,
3176,20,,
3177,20,,
3178,12,,
1946,27,,
3179,12,,
3180,19,,
3181,6,,
3182,21,25,
1497,7,,
3183,20,,
2401,32,,
3184,20,,
3185,29,,
3186,27,,
3187,34,,
1502,29,,
1503,17,,
2408,32,,
529,32,,
532,32,,
2946,9,25,21
552,28,,
2955,9,25,21
1534,32,,
1537,14,,
1541,14,,
1543,14,,
1998,22,,
1548,32,,
2977,21,25,24
1558,14,,
2463,19,,
2466,19,,
1566,14,,
2020,8,,
1567,3,,
2474,19,,
1571,14,,
1572,14,,
1578,3,,
3004,25,,
1582,3,,
1069,2,,
1590,3,,
2496,10,,
3018,24,,
1595,3,,
2499,15,,
1076,2,,
3022,24,,
2502,10,,
1078,2,,
1080,2,,
2057,4,,
1085,2,,
2511,15,,
2512,10,,
2062,34,,
2513,10,,
2518,10,,
2520,10,15,
3043,6,,
3047,6,,
3055,6,,
134,17,,
3058,6,,
1113,27,,
137,17,,
662,31,,
3066,6,,
3070,6,,
2550,12,15,
2553,12,,
2104,4,,
2105,4,,
3080,6,,
2113,4,,
2114,4,,
2115,4,,
2116,4,,
2117,4,,
168,32,,
169,14,,
691,2,,
2572,2,,
698,2,,
705,33,35,
1169,11,,
194,3,,
727,8,,
2157,31,,
728,8,,
1639,2,,
214,31,,
737,3,,
1646,2,,
741,8,,
747,17,,
1203,14,,
748,18,,
2178,4,,
749,17,,
1206,9,25,21
751,3,,
1660,20,,
752,3,,
2182,4,,
1208,21,25,24
1209,21,25,
755,3,,
2187,4,,
2188,4,,
2189,4,,
761,6,,
763,6,,
246,8,,
1223,27,,
1224,27,,
1227,27,,
1230,8,,
1234,21,25,
1693,22,,
1694,22,,
2666,34,,
1695,22,,
1696,22,,
790,30,,
277,21,25,24
799,10,15,
802,2,,
281,21,25,
282,21,25,24
283,21,25,24
285,25,,
808,4,,
2698,34,,
1275,17,,
820,2,,
2709,14,,
2268,32,,
2720,14,,
1302,1,,
847,8,,
1303,1,,
2,23,,
4,23,,
336,18,,
17,9,,
2300,14,,
2305,14,,
357,36,,
1334,7,,
1352,34,,
1355,34,,
1356,34,,
1357,34,,
381,3,,
1358,34,,
1815,22,,
63,27,,
2805,31,,
408,17,,
2809,31,,
411,17,,
2814,31,,
2816,31,,
89,31,,
93,27,,
876,16,,
94,27,,
3089,27,,
3090,4,,
3091,17,,
3092,12,,
3093,10,,
3094,10,15,12
3095,12,15,
3096,12,15,
3097,15,,
2835,9,,
1411,14,,
3098,3,,
3099,2,,
3100,2,,
3101,2,,
2840,6,,
3102,28,,
3103,28,,
442,35,,
3104,28,,
443,5,,
3105,28,,
2843,6,,
3106,28,,
1421,10,12,
3107,30,,
3108,5,,
3109,30,,
1424,19,,
3110,5,,
3111,5,,
3112,30,,
2850,6,,
3113,5,,
3114,30,,
3115,30,,
3116,5,,
2855,9,,
3117,13,,
3118,1,,
3119,1,,
3120,13,,
914,36,,
3121,30,,
3122,13,,
3123,13,,
3124,13,,
3125,16,,
3126,1,,
